,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
52214,PG57044,"Die Inshurance Business: A serio-comic drama in the Pennsylvania German vernacular, ""as she is spoke"" in the German districts of Pennsylvania","Grumbine, Ezra",1845.0,1923.0,"['de', 'en']",10,"{'Pennsylvania German dialect -- Texts', 'Pennsylvania Dutch Country (Pa.) -- Drama'}",
52222,PG57051,Rooman miehä: Maailmankuva elämäkertoina,"Birt, Theodor",1852.0,1933.0,['fi'],2,{'Rome -- Biography'},
52223,PG57052,Röda rummet: Skildringar ur artist- och författarlivet,"Strindberg, August",1849.0,1912.0,['sv'],84,{'Stockholm (Sweden) -- Fiction'},
52224,PG57053,Kuloa ja kevättä: Novelleja,"Kallas, Aino",1878.0,1956.0,['fi'],0,"{'Short stories, Finnish', 'Finnish fiction -- 19th century'}",
52229,PG57058,Őszi fény: Ujabb elbeszélések,"Jókai, Mór",1825.0,1904.0,['hu'],15,"{'Short stories, Hungarian', 'Hungarian fiction -- 19th century'}",
52236,PG57064,Kirsti: Sielunkuvaus,"Kallas, Aino",1878.0,1956.0,['fi'],0,{'Finnish fiction -- 20th century'},
52237,PG57065,Der Bucheinband: Seine Technik und seine Geschichte,"Adam, Paul",1849.0,1931.0,['de'],63,{'Bookbinding -- History'},
52246,PG57073,De complete werken van Joost van Vondel. De Amsteldamsche Hecuba,"Vondel, Joost van den",1587.0,1679.0,['nl'],9,"{'Dutch drama', 'Dutch poetry'}",
52248,PG57075,Vie privée et publique des animaux,,,,['fr'],79,"{'Fables, French'}",
52249,PG57076,Erdsegen: Vertrauliche Sonntagsbriefe eines Bauernknechtes.,"Rosegger, Peter",1843.0,1918.0,['de'],26,"{'Wagers -- Fiction', 'Epistolary fiction', 'Man-woman relationships -- Fiction', 'Farm life -- Fiction'}",
52251,PG57078,Die Glücklichen,"Bernhard, Marie",1852.0,1937.0,['de'],10,{'German fiction'},
52252,PG57079,"Herrn Dames Aufzeichnungen: oder, Begebenheiten aus einem merkwürdigen Stadtteil","Reventlow, Franziska, Gräfin zu",1871.0,1918.0,['de'],16,{'German fiction -- 20th century'},
52254,PG57080,Musta tähti: Romaani,"Elvestad, Sven",1884.0,1934.0,['fi'],1,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52256,PG57082,Fedele ed altri racconti,"Fogazzaro, Antonio",1842.0,1911.0,['it'],17,"{'Short stories, Italian', 'Italian fiction -- 19th century', 'Italy -- Fiction'}",
52258,PG57084,Hajamietteitä kapinaviikoilta 2/3: Kolmas ja neljäs viikko,"Aho, Juhani",1861.0,1921.0,['fi'],4,"{'Communism -- Finland', 'Helsinki (Finland) -- History'}",
52259,PG57085,Sokrateen puolustuspuhe,Plato,-428.0,-348.0,['fi'],18,"{'Socrates, 470 BC-399 BC'}",
52267,PG57092,Golgatalta Roomaan: Historiallinen romaani,"Heymann, Robert",1879.0,1946.0,['fi'],2,"{'German fiction -- Translations into Finnish', 'Rome -- History -- Empire, 30 B.C.-284 A.D -- Fiction', 'Historical fiction'}",
52268,PG57093,De Dochter van de Zeekapitein: Een Histories Verhaal,D'Arbez,1856.0,1918.0,['nl'],5,"{'Seafaring life -- Fiction', 'Ship captains -- Fiction', 'Fathers and daughters -- Fiction', 'Historical fiction', 'South Africa -- History -- Fiction'}",
52280,PG57103,Iphigeneia i Aulis,Euripides,,-406.0,['sv'],3,"{'Iphigenia (Mythological character) -- Drama', 'Tragedies'}",
52281,PG57104,Pikku Lallin tähtimaailma,"Bergh, John",1872.0,1939.0,['fi'],1,"{""Children's stories""}",
52282,PG57105,Scipion unennäkö,"Cicero, Marcus Tullius",-106.0,-43.0,['fi'],5,"{'Scipio Aemilianus, P. Cornelius (Publius Cornelius), Africanus minor, 185 B.C. or 184 B.C.-129 B.C. -- In literature', 'Scipio, Africanus, approximately 236 B.C.-183 B.C. -- In literature'}",
52292,PG57114,Vögelchen,"Zweig, Friderike Maria Burger Winternitz",1882.0,1971.0,['de'],29,{'Austrian fiction'},
52293,PG57115,Katinka Rabe: Kirja lapsesta,"Kallas, Aino",1878.0,1956.0,['fi'],0,{'Finnish fiction -- 20th century'},
52298,PG5711,Germinal,"Zola, Émile",1840.0,1902.0,['fr'],118,"{'France, Northern -- Fiction', 'Labor disputes -- Fiction', 'Strikes and lockouts -- Fiction', 'Political fiction', 'Coal mines and mining -- Fiction', 'Coal miners -- Fiction'}",
52306,PG57127,Magyar titkok: Regény (1. kötet),"Nagy, Ignácz",1810.0,1854.0,['hu'],14,{'Hungarian fiction -- 19th century'},
52307,PG57128,Magyar titkok: Regény (2. kötet),"Nagy, Ignácz",1810.0,1854.0,['hu'],15,{'Hungarian fiction -- 19th century'},
52308,PG57129,Magyar titkok: Regény (3. kötet),"Nagy, Ignácz",1810.0,1854.0,['hu'],5,{'Hungarian fiction -- 19th century'},
52311,PG57131,Michelangelo,"Knackfuss, H. (Hermann)",1848.0,1915.0,['de'],28,"{'Artists -- Italy -- Biography', 'Michelangelo Buonarroti, 1475-1564'}",
52326,PG57145,Gorgias,Plato,-428.0,-348.0,['fi'],6,"{'Ethics -- Early works to 1800', 'Classical literature', 'Political science -- Early works to 1800'}",
52327,PG57146,Puhe runoilija Archiaan puolustukseksi,"Cicero, Marcus Tullius",-106.0,-43.0,['fi'],4,"{'Citizenship -- Rome', 'Speeches, addresses, etc., Latin -- Translations into Finnish', 'Rhetoric, Ancient', 'Trials -- Italy -- Rome', 'Oratory, Ancient', 'Archias, Aulus Licinius, 120 B.C.- -- Trials, litigation, etc.'}",
52333,PG57151,Salaperäinen vihollinen: Kertomus salapoliisi Asbjörn Kragin elämästä,"Elvestad, Sven",1884.0,1934.0,['fi'],6,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52343,PG57160,Dell'antico stato del lago di Pusiano nell'alto Milanese,"Redaelli, Carlo",,,['it'],6,"{'Pusiano Lake (Italy) -- Description and travel', 'Pusiano Lake (Italy) -- Antiquities'}",
52346,PG57163,Kuoleman tarkoitus,"Bourget, Paul",1852.0,1935.0,['fi'],1,"{'World War, 1914-1918 -- France -- Fiction', 'Love -- Fiction', 'Death -- Fiction'}",
52354,PG57170,Louhilinna: Tarina vanhasta talosta,"Talvio, Maila",1871.0,1951.0,['fi'],5,{'Finnish fiction -- 20th century'},
52367,PG57182,Les metteurs en scène,"Wharton, Edith",1862.0,1937.0,['fr'],35,"{'American fiction -- Translations into French', 'Short stories, American -- Translations into French'}",
52368,PG57183,Pimeyden ääniä: Romaani,"Elvestad, Sven",1884.0,1934.0,['fi'],2,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52369,PG57184,Dokumentoj de Esperanto: Informilo pri la historio kaj organizo de la Esperanta movado,,,,['eo'],170,"{'Esperanto -- Texts', 'Esperanto -- History'}",
